segment_id,highway_name,segment_length_m,pronghorn_overlap_high_use,pronghorn_overlap_stopover,elk_overlap_high_use,elk_overlap_stopover,meters_to_pronghorn_highway,meters_to_pronghorn_stopover,meters_to_elk_highway,meters_to_elk_stopover
128419,I 040                       0,160.88,0,0,0,0,47819.31,50641.31,40400.38,46851.07
128420,I 040,160.88,0,0,0,0,47771.37,50595.09,40355.46,46806.81
128423,S 260                       0,160.82,0,0,0,0,266469.34,270086.92,260417.33,265641.23
128427,S 260,160.82,0,0,0,0,266482.23,270099.73,260430.03,265654.1
128433,I 040                       0,160.88,0,0,0,0,47976.06,50800.27,40560.36,47011.41
128434,I 040,160.88,0,0,0,0,47928.14,50754.07,40515.46,46967.16
128437,S 260                       0,160.82,0,0,0,0,266613.3,270230.06,260559.42,265785.06
128441,S 260,160.82,0,0,0,0,266626.89,270243.59,260572.87,265798.65
128447,I 040                       0,160.88,0,0,0,0,48132.85,50959.26,40720.36,47171.76
128448,I 040,160.88,0,0,0,0,48084.95,50913.06,40675.47,47127.52
128451,S 260                       0,160.82,0,0,0,0,266766.29,270382.49,260711.13,265937.97
128455,S 260,160.82,0,0,0,0,266780.61,270396.78,260725.37,265952.28
128461,I 040                       0,160.88,0,0,0,0,48290.41,51118.73,40880.66,47332.31
128462,I 040,160.88,0,0,0,0,48241.65,51071.97,40835.41,47287.82
128465,S 260                       0,147.94,0,0,0,0,266918.7,270534.65,260862.94,266090.34
128469,S 260,133.26,0,0,0,0,266926.01,270541.96,260870.24,266097.66
128475,I 040                       0,160.88,0,0,0,0,48449.92,51279.21,41041.33,47492.94
128476,I 040,160.88,0,0,0,0,48400.1,51231.93,40995.91,47448.44
128487,I 040                       0,160.88,0,0,0,0,48610.45,51439.26,41200.6,47651.7
128488,I 040,160.88,0,0,0,0,48560.58,51392.36,41155.85,47608.01
128499,I 040                       0,160.88,0,0,0,0,48769.11,51595.78,41355.22,47805.28
128500,I 040,160.88,0,0,0,0,48720.26,51550.39,41312.3,47763.58
128511,I 040                       0,160.88,0,0,0,0,48922.41,51745.3,41501.76,47950.26
128512,I 040,160.88,0,0,0,0,48876.21,51703.21,41462.56,47912.49
128523,I 040                       0,160.88,0,0,0,0,49068.2,51885.94,41638.57,48085.06
128524,I 040,160.88,0,0,0,0,49025.14,51847.5,41603.32,48051.41
128535,I 040                       0,160.88,0,0,0,0,49203.09,52014.32,41762.29,48206.31
128536,I 040,160.88,0,0,0,0,49164.84,51981.24,41732.71,48178.53
128547,I 040                       0,160.88,0,0,0,0,49331.39,52135.43,41878.38,48319.7
128548,I 040,160.88,0,0,0,0,49294.55,52103.9,41850.4,48293.59
128558,I 040                       0,160.88,0,0,0,0,49459.96,52256.83,41994.86,48433.45
128559,I 040,160.88,0,0,0,0,49423.18,52225.38,41966.91,48407.4
128568,I 040                       0,160.88,0,0,0,0,49588.76,52378.5,42111.67,48547.51
128569,I 040,160.88,0,0,0,0,49551.38,52346.39,42082.99,48520.74
128578,I 040                       0,160.88,0,0,0,0,49716.73,52499.27,42227.62,48660.65
128579,I 040,160.88,0,0,0,0,49679.57,52467.41,42199.15,48634.12
128588,I 040                       0,160.88,0,0,0,0,49851.17,52627.17,42351.14,48781.56
128589,I 040,160.88,0,0,0,0,49810.55,52591.49,42318.6,48750.85
128598,I 040                       0,160.88,0,0,0,0,49995.98,52766.73,42487.14,48915.34
128599,I 040,160.88,0,0,0,0,49951.39,52726.54,42449.74,48879.62
128608,I 040                       0,160.88,0,0,0,0,50148.95,52915.88,42633.61,49060.08
128609,I 040,160.88,0,0,0,0,50101.62,52872.42,42592.6,49020.58
128618,I 040                       0,160.88,0,0,0,0,50307.25,53071.9,42787.87,49213.15
128619,I 040,160.88,0,0,0,0,50258.31,53026.25,42744.33,49170.91
128628,I 040                       0,160.88,0,0,0,0,50467.79,53231.66,42946.8,49371.43
128629,I 040,160.88,0,0,0,0,50418.36,53184.97,42901.86,49327.59
128638,I 040                       0,160.88,0,0,0,0,50627.22,53392.01,43107.33,49531.92
128639,I 040,160.88,0,0,0,0,50578.76,53345.57,43062.21,49487.66
128648,I 040                       0,160.88,0,0,0,0,50785.02,53551.6,43267.61,49692.5
128649,I 040,160.88,0,0,0,0,50737.17,53505.5,43222.68,49648.31
128658,I 040                       0,160.88,0,0,0,0,50942.26,53710.82,43427.66,49852.91
128659,I 040,160.88,0,0,0,0,50894.36,53664.69,43382.7,49808.7
128668,I 040                       0,160.88,0,0,0,0,51099.63,53870.12,43587.76,50013.36
128669,I 040,160.88,0,0,0,0,51051.67,53823.95,43542.77,49969.13
128678,I 040                       0,160.88,0,0,0,0,51257.03,54029.43,43747.87,50173.81
128679,I 040,160.88,0,0,0,0,51209.08,53983.27,43702.89,50129.58
128688,I 040                       0,160.88,0,0,0,0,51414.4,54188.73,43907.96,50334.25
128689,I 040,160.88,0,0,0,0,51366.49,54142.58,43863.0,50290.04
128698,I 040                       0,160.88,0,0,0,0,51571.79,54348.02,44068.05,50494.69
128699,I 040,160.88,0,0,0,0,51523.91,54301.91,44023.12,50450.49
128708,I 040                       0,160.88,0,0,0,0,51729.2,54507.33,44228.15,50655.13
128709,I 040,160.88,0,0,0,0,51681.36,54461.24,44183.24,50610.95
128718,I 040                       0,160.88,0,0,0,0,51886.63,54666.65,44388.26,50815.58
128719,I 040,160.88,0,0,0,0,51838.82,54620.58,44343.36,50771.41
128728,I 040                       0,160.88,0,0,0,0,52044.08,54825.97,44548.37,50976.02
128729,I 040,160.88,0,0,0,0,51996.31,54779.93,44503.49,50931.87
128738,I 040                       0,160.88,0,0,0,0,52201.55,54985.3,44708.49,51136.47
128739,I 040,160.88,0,0,0,0,52153.82,54939.29,44663.63,51092.34
128748,I 040                       0,160.88,0,0,0,0,52359.04,55144.65,44868.61,51296.93
128749,I 040,160.88,0,0,0,0,52311.35,55098.66,44823.77,51252.8
128758,I 040                       0,160.88,0,0,0,0,52516.56,55304.0,45028.74,51457.38
128759,I 040,160.88,0,0,0,0,52468.9,55258.04,44983.92,51413.27
128768,I 040                       0,160.88,0,0,0,0,52674.09,55463.36,45188.87,51617.84
128769,I 040,160.88,0,0,0,0,52626.47,55417.42,45144.07,51573.75
128778,I 040                       0,160.88,0,0,0,0,52831.64,55622.73,45349.0,51778.3
128779,I 040,160.88,0,0,0,0,52784.03,55576.8,45304.22,51734.21
128788,I 040                       0,160.88,0,0,0,0,52989.21,55782.1,45509.15,51938.76
128789,I 040,160.88,0,0,0,0,52941.61,55736.18,45464.37,51894.68
128798,I 040                       0,160.88,0,0,0,0,53146.8,55941.49,45669.29,52099.23
128799,I 040,160.88,0,0,0,0,53099.22,55895.58,45624.53,52055.15
128808,I 040                       0,160.88,0,0,0,0,53304.41,56100.88,45829.45,52259.7
128809,I 040,160.88,0,0,0,0,53256.85,56054.98,45784.69,52215.63
128818,I 040                       0,160.88,0,0,0,0,53462.04,56260.28,45989.6,52420.17
128819,I 040,160.88,0,0,0,0,53414.49,56214.39,45944.86,52376.1
128828,I 040                       0,160.88,0,0,0,0,53619.69,56419.69,46149.77,52580.64
128829,I 040,160.88,0,0,0,0,53572.16,56373.81,46105.03,52536.58
128838,I 040                       0,160.88,0,0,0,0,53777.36,56579.11,46309.93,52741.11
128839,I 040,160.88,0,0,0,0,53729.83,56533.24,46265.2,52697.06
128848,I 040                       0,160.88,0,0,0,0,53935.04,56738.53,46470.1,52901.59
128849,I 040,160.88,0,0,0,0,53887.52,56692.67,46425.38,52857.54
128858,I 040                       0,160.88,0,0,0,0,54092.75,56897.97,46630.28,53062.07
128859,I 040,160.88,0,0,0,0,54045.23,56852.11,46585.56,53018.02
128868,I 040                       0,160.88,0,0,0,0,54250.47,57057.41,46790.46,53222.55
128869,I 040,160.88,0,0,0,0,54202.96,57011.55,46745.75,53178.51
128878,I 040                       0,160.88,0,0,0,0,54408.22,57216.86,46950.65,53383.04
128879,I 040,160.88,0,0,0,0,54360.71,57171.01,46905.94,53339.0
128888,I 040                       0,160.88,0,0,0,0,54565.98,57376.32,47110.84,53543.52
128889,I 040,160.88,0,0,0,0,54518.48,57330.47,47066.14,53499.49
128898,I 040                       0,160.88,0,0,0,0,54723.75,57535.78,47271.03,53704.01
128899,I 040,160.88,0,0,0,0,54676.28,57489.95,47226.34,53659.99
128908,I 040                       0,160.88,0,0,0,0,54881.55,57695.25,47431.23,53864.5
128909,I 040,160.88,0,0,0,0,54834.09,57649.44,47386.55,53820.48
128918,I 040                       0,160.88,0,0,0,0,55039.36,57854.73,47591.44,54024.99
128919,I 040,160.88,0,0,0,0,54991.92,57808.93,47546.77,53980.98
128928,I 040                       0,160.88,0,0,0,0,55197.19,58014.22,47751.64,54185.49
128929,I 040,160.88,0,0,0,0,55149.77,57968.43,47706.99,54141.49
128938,I 040                       0,160.88,0,0,0,0,55355.04,58173.71,47911.86,54345.99
128939,I 040,160.88,0,0,0,0,55307.64,58127.94,47867.21,54301.99
128948,I 040                       0,160.88,0,0,0,0,55512.9,58333.22,48072.07,54506.49
128949,I 040,160.88,0,0,0,0,55465.52,58287.45,48027.44,54462.5
128958,I 040                       0,160.88,0,0,0,0,55670.78,58492.73,48232.29,54666.99
128959,I 040,160.88,0,0,0,0,55623.42,58446.98,48187.67,54623.01
128968,I 040                       0,160.88,0,0,0,0,55828.68,58652.24,48392.52,54827.49
128969,I 040,160.88,0,0,0,0,55781.34,58606.51,48347.91,54783.52
128978,I 040                       0,160.88,0,0,0,0,55986.6,58811.77,48552.75,54988.0
128979,I 040,160.88,0,0,0,0,55939.27,58766.04,48508.15,54944.03
128988,I 040                       0,160.88,0,0,0,0,56144.54,58971.31,48712.99,55148.51
128989,I 040,160.88,0,0,0,0,56097.22,58925.59,48668.39,55104.55
128998,I 040                       0,160.88,0,0,0,0,56302.49,59130.85,48873.23,55309.02
128999,I 040,160.88,0,0,0,0,56255.19,59085.14,48828.64,55265.07
129008,I 040                       0,160.88,0,0,0,0,56460.46,59290.4,49033.47,55469.53
129009,I 040,160.88,0,0,0,0,56413.18,59244.7,48988.9,55425.59
129018,I 040                       0,160.88,0,0,0,0,56618.45,59449.96,49193.72,55630.05
129019,I 040,160.88,0,0,0,0,56571.18,59404.27,49149.15,55586.11
129028,I 040                       0,160.88,0,0,0,0,56776.45,59609.52,49353.97,55790.57
129029,I 040,160.88,0,0,0,0,56729.19,59563.84,49309.41,55746.63
129038,I 040                       0,160.88,0,0,0,0,56934.47,59769.09,49514.23,55951.09
129039,I 040,160.88,0,0,0,0,56887.23,59723.43,49469.68,55907.16
129048,I 040                       0,160.88,0,0,0,0,57092.51,59928.67,49674.49,56111.61
129049,I 040,160.88,0,0,0,0,57045.28,59883.01,49629.95,56067.69
